profession,attribute,class,filename
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/000.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/001.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/002.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/003.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/004.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/005.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/006.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/007.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/008.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/009.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/010.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/011.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/012.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/013.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/014.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/015.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/016.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/017.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/018.jpg
administrative assistant,age,old,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/old/images/019.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/000.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/001.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/002.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/003.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/004.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/005.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/006.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/007.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/008.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/009.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/010.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/011.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/012.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/013.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/014.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/015.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/016.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/017.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/018.jpg
administrative assistant,age,young,/home/jl_fs/dataset/age_dataset/train/administrative_assistant/young/images/019.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/000.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/001.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/002.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/003.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/004.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/005.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/006.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/007.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/008.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/009.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/010.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/011.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/012.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/013.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/014.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/015.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/016.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/017.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/018.jpg
ceo,age,old,/home/jl_fs/dataset/age_dataset/train/ceo/old/images/019.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/000.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/001.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/002.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/003.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/004.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/005.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/006.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/007.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/008.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/009.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/010.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/011.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/012.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/013.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/014.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/015.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/016.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/017.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/018.jpg
ceo,age,young,/home/jl_fs/dataset/age_dataset/train/ceo/young/images/019.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/000.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/001.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/002.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/003.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/004.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/005.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/006.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/007.jpg
childcare worker,age,old,/home/jl_fs/dataset/age_dataset/train/childcare_worker/old/images/008.jpg
