profession,attribute,class,filename
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/000.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/001.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/002.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/003.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/004.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/005.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/006.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/007.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/008.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/009.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/010.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/011.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/012.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/013.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/014.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/015.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/016.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/017.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/018.jpg
administrative assistant,gender,female,/home/jl_fs/dataset/gender_dataset/train/administrative_assistant/female/images/019.jpg
