profession,attribute,class,filename
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/000.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/001.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/002.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/003.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/004.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/005.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/006.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/007.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/008.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/009.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/010.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/011.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/012.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/013.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/014.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/015.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/016.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/017.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/018.jpg
administrative assistant,race,Black,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Black/images/019.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/000.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/001.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/002.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/003.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/004.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/005.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/006.jpg
administrative assistant,race,Caucasian,/home/jl_fs/dataset/race_dataset/train/administrative_assistant/Caucasian/images/007.jpg
